snapshot_month,lecturer_id,lecturer_name,faculty_code,faculty_name,scopus_author_id,publication_count_total,citation_count_total,h_index,publication_delta_month,citation_delta_month,api_status,notes
2026-01,FAPET_AHMAD_WINDU_BAHARI_S_PT_M_P_M_SC,"AHMAD WINDU BAHARI, S.Pt., M.P., M.Sc.",FAPET,,,0,0,0,,,IMPORTED,
2026-02,FAPET_AHMAD_WINDU_BAHARI_S_PT_M_P_M_SC,"AHMAD WINDU BAHARI, S.Pt., M.P., M.Sc.",FAPET,,,0,0,0,0,0,IMPORTED,
2026-03,FAPET_AHMAD_WINDU_BAHARI_S_PT_M_P_M_SC,"AHMAD WINDU BAHARI, S.Pt., M.P., M.Sc.",FAPET,,,0,0,0,0,0,IMPORTED,
2026-01,FAPET_DR_RANI_WINARDI_WULAN_SARI_S_PT_M_PT,"Dr. RANI WINARDI WULAN SARI, S.Pt., M.Pt.",FAPET,,,0,0,0,,,IMPORTED,
2026-02,FAPET_DR_RANI_WINARDI_WULAN_SARI_S_PT_M_PT,"Dr. RANI WINARDI WULAN SARI, S.Pt., M.Pt.",FAPET,,,0,0,0,0,0,IMPORTED,
2026-03,FAPET_DR_RANI_WINARDI_WULAN_SARI_S_PT_M_PT,"Dr. RANI WINARDI WULAN SARI, S.Pt., M.Pt.",FAPET,,,0,0,0,0,0,IMPORTED,
2026-01,FEB_ACHMAD_ZAKY_S_E_MSA_AK,"ACHMAD ZAKY, S.E., MSA., Ak.",FEB,,,0,0,0,,,IMPORTED,
2026-02,FEB_ACHMAD_ZAKY_S_E_MSA_AK,"ACHMAD ZAKY, S.E., MSA., Ak.",FEB,,,0,0,0,0,0,IMPORTED,
2026-03,FEB_ACHMAD_ZAKY_S_E_MSA_AK,"ACHMAD ZAKY, S.E., MSA., Ak.",FEB,,,0,0,0,0,0,IMPORTED,
2026-01,FEB_AJENG_KARTIKA_GALUH_S_E_M_E,"AJENG KARTIKA GALUH, S.E., M.E.",FEB,,,5,0,0,,,IMPORTED,
2026-02,FEB_AJENG_KARTIKA_GALUH_S_E_M_E,"AJENG KARTIKA GALUH, S.E., M.E.",FEB,,,0,0,0,-5,0,IMPORTED,
2026-03,FEB_AJENG_KARTIKA_GALUH_S_E_M_E,"AJENG KARTIKA GALUH, S.E., M.E.",FEB,,,0,0,0,0,0,IMPORTED,
2026-01,FEB_ANAS_BUDIHARJO_S_H_I_M_A,"ANAS BUDIHARJO, S.H.I., M.A.",FEB,,,0,0,0,,,IMPORTED,
2026-02,FEB_ANAS_BUDIHARJO_S_H_I_M_A,"ANAS BUDIHARJO, S.H.I., M.A.",FEB,,,0,0,0,0,0,IMPORTED,
2026-03,FEB_ANAS_BUDIHARJO_S_H_I_M_A,"ANAS BUDIHARJO, S.H.I., M.A.",FEB,,,0,0,0,0,0,IMPORTED,
2026-01,FEB_ATU_BAGUS_WIGUNA_S_E_M_E,"ATU BAGUS WIGUNA, S.E., M.E.",FEB,,,0,0,0,,,IMPORTED,
2026-02,FEB_ATU_BAGUS_WIGUNA_S_E_M_E,"ATU BAGUS WIGUNA, S.E., M.E.",FEB,,,0,0,0,0,0,IMPORTED,
2026-03,FEB_ATU_BAGUS_WIGUNA_S_E_M_E,"ATU BAGUS WIGUNA, S.E., M.E.",FEB,,,0,0,0,0,0,IMPORTED,
2026-01,FEB_DR_ADRI_PUTRA_NUGRAHA_S_E_MPA,"Dr. ADRI PUTRA NUGRAHA, S.E., MPA.",FEB,,,0,0,0,,,IMPORTED,
2026-02,FEB_DR_ADRI_PUTRA_NUGRAHA_S_E_MPA,"Dr. ADRI PUTRA NUGRAHA, S.E., MPA.",FEB,,,0,0,0,0,0,IMPORTED,
