lecturer_id,lecturer_name,faculty_code,faculty_name,scopus_author_id,latest_snapshot_month,publication_count_total,citation_count_total,h_index,publication_delta_month,citation_delta_month,api_status,notes
FAPET_AHMAD_WINDU_BAHARI_S_PT_M_P_M_SC,"AHMAD WINDU BAHARI, S.Pt., M.P., M.Sc.",FAPET,,,2026-03,0,0,0,0,0,IMPORTED,
FAPET_DR_RANI_WINARDI_WULAN_SARI_S_PT_M_PT,"Dr. RANI WINARDI WULAN SARI, S.Pt., M.Pt.",FAPET,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_ACHMAD_ZAKY_S_E_MSA_AK,"ACHMAD ZAKY, S.E., MSA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_AJENG_KARTIKA_GALUH_S_E_M_E,"AJENG KARTIKA GALUH, S.E., M.E.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_ANAS_BUDIHARJO_S_H_I_M_A,"ANAS BUDIHARJO, S.H.I., M.A.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_ATU_BAGUS_WIGUNA_S_E_M_E,"ATU BAGUS WIGUNA, S.E., M.E.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_ADRI_PUTRA_NUGRAHA_S_E_MPA,"Dr. ADRI PUTRA NUGRAHA, S.E., MPA.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_AKIE_RUSAKTIVA_RUSTAM_SE_M_SA_AK,"Dr. AKIE RUSAKTIVA RUSTAM, SE., M.SA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_ANITA_WIJAYANTI_S_E_M_SA_AK,"Dr. ANITA WIJAYANTI, S.E., M.SA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_BOGAT_AGUS_RIYONO_SE_AK_MSA,"Dr. BOGAT AGUS RIYONO, SE., Ak., MSA.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_HELMY_ADAM_S_E_M_SA_AK,"Dr. HELMY ADAM, S.E., M.SA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_IR_NUR_PRIMA_WALUYOWATI_MM,"Dr. Ir. NUR PRIMA WALUYOWATI, MM.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_MYCHELIA_CHAMPACA_S_E_AK_M_M,"Dr. MYCHELIA CHAMPACA, S.E., Ak., M.M.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_RIZKA_FITRIASARI_S_E_M_SA_AK,"Dr. RIZKA FITRIASARI, S.E., M.SA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_DR_VIRGINIA_NUR_RAHMANTI_S_E_MSA_AK,"Dr. VIRGINIA NUR RAHMANTI, S.E., MSA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_EFRYTA_WULAN_ANGGRAENI_S_T_MSM,"EFRYTA WULAN ANGGRAENI, S.T., MSM.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_GHIFARY_DUYUFUR_ROHMAN_S_H_M_SC,"GHIFARY DUYUFUR ROHMAN, S.H, M.Sc.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_HAQU_IMANING_ELMIANI_S_BNS_MEI,"HAQU IMANING ELMIANI, S.Bns., MEI.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_HELMY_AULIA_RACHMAN_S_A_M_A,"HELMY AULIA RACHMAN, S.A., M.A.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_INTAN_LIFINDA_AYUNING_PUTRI_S_E_M_S_A,"INTAN LIFINDA AYUNING PUTRI, S.E., M.S.A.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_KOMARUDIN_ACHMAD_SE_AK_M_SI,"KOMARUDIN ACHMAD, SE., Ak., M.Si.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_LUTFI_HARRIS_SE_M_AK_AK,"LUTFI HARRIS, SE., M.Ak., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_MUHAMMAD_HAFIZ_RIANDI_S_SI_M_M,"MUHAMMAD HAFIZ RIANDI, S.SI., M.M.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_M_ABDI_DZIL_IKHRAM_W_S_E_M_M,"M. ABDI DZIL IKHRAM W., S.E., M.M.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_M_MUKHLIS_AMRULLAH_S_E_M_AK,"M. MUKHLIS AMRULLAH,  S.E., M.Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_NURMAN_SETIAWAN_FADJAR_S_E_M_SC,"NURMAN SETIAWAN FADJAR, S.E., M.Sc.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_PROF_DR_MUNAWAR_SE_DEA,"Prof. Dr. MUNAWAR, SE., DEA.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_PUSPITASARI_WAHYU_ANGGRAENI_S_E_M_EC_DEV,"PUSPITASARI WAHYU ANGGRAENI, S.E., M.Ec.Dev.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_RAHADITYA_YUNIANTO_SE_MM,"RAHADITYA YUNIANTO, SE., MM.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_RR_AYU_FIRDAUSIAH_S_E_M_M,"RR. AYU FIRDAUSIAH, S.E., M.M.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_TUBAN_DRIJAH_HERAWATI_SE_AK_MM,"TUBAN DRIJAH HERAWATI, SE., Ak., MM.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FEB_YUKI_FIRMANTO_S_E_MSA_AK,"YUKI FIRMANTO, S.E., MSA., Ak.",FEB,,,2026-03,0,0,0,0,0,IMPORTED,
FH_AGIS_ARDHIANSYAH_SH_LL_M,"AGIS ARDHIANSYAH, SH., LL.M.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_ARIF_ZAINUDIN_SH_M_HUM,"ARIF ZAINUDIN, SH., M.Hum.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_ARISKA_CESAR_DIVIAN_CANDRA_KUSUMA_M_H,"ARISKA CESAR DIVIAN CANDRA KUSUMA, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_CYNDIARNIS_CAHYANING_PUTRI_S_H_M_KN,"CYNDIARNIS CAHYANING PUTRI, S.H., M.Kn.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_DEVIN_IRWAN_JINOTO_S_H_M_H,"DEVIN IRWAN JINOTO, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_DONY_ADITYA_PRASETYO_S_H_M_H,"DONY ADITYA PRASETYO, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_DONY_SETIAWAN_PUTRA_S_H_M_H,"DONY SETIAWAN PUTRA, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_DR_MUKTIONO_S_H_M_PHIL,"Dr. MUKTIONO, S.H., M.Phil.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_IBNU_SAM_WIDODO_S_H_M_H,"IBNU SAM WIDODO, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_KARTIKA_YOURI_WIDODO_S_H_M_H,"KARTIKA YOURI WIDODO, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_LUCKY_ELZA_ADITYA_M_H,"LUCKY ELZA ADITYA, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_MOCH_ZAIRUL_ALAM_S_H_M_H,"MOCH. ZAIRUL ALAM, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_MUSTOFA_PONCO_WIBOWO_S_H_M_H,"MUSTOFA PONCO WIBOWO, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_NURUL_ISLAMI_M_H,"NURUL ISLAMI, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_PRAWATYA_IDO_NURHAYATI_SH_M_KN,"PRAWATYA IDO NURHAYATI, SH., M.Kn.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_RESA_YUNIARSA_HASAN_S_H_M_H,"RESA YUNIARSA HASAN, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_SAYYIDATUN_NASHUHA_BASYAR_S_H_M_H,"SAYYIDATUN NASHUHA BASYAR, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_SHANTI_RISKAWATI_S_H_M_KN,"SHANTI RISKAWATI, S.H., M.Kn.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_SHINTA_PUSPITA_SARI_S_H_M_H,"SHINTA PUSPITA SARI, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_SITI_NUR_SHOIMAH_M_H,"SITI NUR SHOIMAH, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_SYAHRUL_SAJIDIN_S_H_M_H,"SYAHRUL SAJIDIN, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_TORIK_ABDUL_AZIZ_WIBOWO_M_H,"TORIK ABDUL AZIZ WIBOWO, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_TRIYA_INDRA_RAHMAWAN_S_H_M_H,"TRIYA INDRA RAHMAWAN, S.H., M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
FH_TRI_WIDIASTUTI_M_H,"TRI WIDIASTUTI, M.H.",FH,,,2026-03,0,0,0,0,0,IMPORTED,
